Start,Meter,kWh,kW
02/14/2025 12:00:00 AM,Meter #80395501 - Off-Peak,1.19,4.77
02/14/2025 12:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 12:15:00 AM,Meter #80395501 - Off-Peak,1.19,4.77
02/14/2025 12:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 12:30:00 AM,Meter #80395501 - Off-Peak,1.34,5.34
02/14/2025 12:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 12:45:00 AM,Meter #80395501 - Off-Peak,1.55,6.18
02/14/2025 12:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 1:00:00 AM,Meter #80395501 - Off-Peak,1.52,6.06
02/14/2025 1:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 1:15:00 AM,Meter #80395501 - Off-Peak,1.27,5.06
02/14/2025 1:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 1:30:00 AM,Meter #80395501 - Off-Peak,1.14,4.56
02/14/2025 1:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 1:45:00 AM,Meter #80395501 - Off-Peak,1.08,4.3
02/14/2025 1:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 2:00:00 AM,Meter #80395501 - Off-Peak,1.07,4.29
02/14/2025 2:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 2:15:00 AM,Meter #80395501 - Off-Peak,1.06,4.26
02/14/2025 2:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 2:30:00 AM,Meter #80395501 - Off-Peak,1.08,4.32
02/14/2025 2:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 2:45:00 AM,Meter #80395501 - Off-Peak,1.07,4.29
02/14/2025 2:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 3:00:00 AM,Meter #80395501 - Off-Peak,1.14,4.56
02/14/2025 3:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 3:15:00 AM,Meter #80395501 - Off-Peak,1.44,5.75
02/14/2025 3:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 3:30:00 AM,Meter #80395501 - Off-Peak,1.43,5.74
02/14/2025 3:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 3:45:00 AM,Meter #80395501 - Off-Peak,1.32,5.28
02/14/2025 3:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 4:00:00 AM,Meter #80395501 - Off-Peak,1.06,4.26
02/14/2025 4:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 4:15:00 AM,Meter #80395501 - Off-Peak,1.09,4.35
02/14/2025 4:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 4:30:00 AM,Meter #80395501 - Off-Peak,0.79,3.14
02/14/2025 4:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 4:45:00 AM,Meter #80395501 - Off-Peak,0.69,2.78
02/14/2025 4:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 5:00:00 AM,Meter #80395501 - Off-Peak,0.7,2.79
02/14/2025 5:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 5:15:00 AM,Meter #80395501 - Off-Peak,0.81,3.24
02/14/2025 5:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 5:30:00 AM,Meter #80395501 - Off-Peak,1.09,4.36
02/14/2025 5:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 5:45:00 AM,Meter #80395501 - Off-Peak,1.31,5.24
02/14/2025 5:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 6:00:00 AM,Meter #80395501 - Off-Peak,1.32,5.26
02/14/2025 6:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 6:15:00 AM,Meter #80395501 - Off-Peak,0.96,3.85
02/14/2025 6:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 6:30:00 AM,Meter #80395501 - Off-Peak,0.92,3.67
02/14/2025 6:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 6:45:00 AM,Meter #80395501 - Off-Peak,0.91,3.66
02/14/2025 6:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 7:00:00 AM,Meter #80395501 - Off-Peak,1.12,4.48
02/14/2025 7:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 7:15:00 AM,Meter #80395501 - Off-Peak,1.35,5.42
02/14/2025 7:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 7:30:00 AM,Meter #80395501 - Off-Peak,1.3,5.22
02/14/2025 7:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 7:45:00 AM,Meter #80395501 - Off-Peak,0.93,3.7
02/14/2025 7:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 8:00:00 AM,Meter #80395501 - Off-Peak,0.78,3.11
02/14/2025 8:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 8:15:00 AM,Meter #80395501 - Off-Peak,1.01,4.04
02/14/2025 8:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 8:30:00 AM,Meter #80395501 - Off-Peak,1.03,4.14
02/14/2025 8:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 8:45:00 AM,Meter #80395501 - Off-Peak,0.81,3.23
02/14/2025 8:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 9:00:00 AM,Meter #80395501 - Off-Peak,0.81,3.22
02/14/2025 9:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 9:15:00 AM,Meter #80395501 - Off-Peak,1.02,4.06
02/14/2025 9:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 9:30:00 AM,Meter #80395501 - Off-Peak,0.99,3.95
02/14/2025 9:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 9:45:00 AM,Meter #80395501 - Off-Peak,0.81,3.22
02/14/2025 9:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 10:00:00 AM,Meter #80395501 - Off-Peak,0.78,3.11
02/14/2025 10:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 10:15:00 AM,Meter #80395501 - Off-Peak,1.03,4.12
02/14/2025 10:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 10:30:00 AM,Meter #80395501 - Off-Peak,0.97,3.86
02/14/2025 10:30:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 10:45:00 AM,Meter #80395501 - Off-Peak,0.8,3.2
02/14/2025 10:45:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 11:00:00 AM,Meter #80395501 - Off-Peak,0.81,3.23
02/14/2025 11:00:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 11:15:00 AM,Meter #80395501 - Off-Peak,0.94,3.75
02/14/2025 11:15:00 AM,Meter #80395501g - Off-Peak,0,
02/14/2025 11:30:00 AM,Meter #80395501 - Off-Peak,1.13,4.53
